Jugador,Rating,RD
J1,1316.3488146419284,166.43015373643215
J2,1283.651174073209,166.4301636057483
J3,1367.5765528877212,164.44572812795198
J4,1232.4234471122788,164.44572812795198
J5,1552.8685254333166,166.43013802579063
J6,1447.1314745666834,166.43013802579063
J7,1516.3488323206984,166.4301708613043
J8,1377.9141519114014,166.4301427289653
J9,1577.914155913948,166.43013780037802
J10,1716.348825926791,166.4301636057483
J11,1577.914155913948,166.43013780037802
J12,1683.6511853580716,166.43015373643215
J13,1822.085844597119,166.43013878291987
J14,1822.085844597119,166.43013878291987
J15,1716.348825926791,166.4301636057483
J16,1577.914155913948,166.43013780037802
J17,1483.6511676793016,166.4301708613043
J18,1622.0858480885986,166.4301427289653
J19,1683.6511853580716,166.43015373643215
J20,1822.085844597119,166.43013878291987
