Jugador,Rating,RD
J20,1747.5868112283592,127.74118858397291
J13,1896.5848793187877,127.74118648777808
J14,1700.4059559133802,129.12916098638084
J19,1851.8254336266928,128.44886115066868
J10,1734.8932955309806,129.76151694480157
J12,1718.5656373335148,128.72505051444261
J15,1686.0769965857605,128.39804474860392
J16,1681.9526896444625,128.32310627203722
J11,1615.848443924884,127.62015170931555
J17,1603.8822433069429,128.06453751798185
J18,1529.4884931020727,128.56184163075264
J9,1534.1522606146689,127.35994067650219
