row_number,id_match,model,nickname,player,num_invalidos,num_valid_plays,avg_execution_time,win_status,old_raiting,old_RD,new_raiting,new_RD,appearance_order
10,358ca9a8-06c7-11f0-959f-005056c00003,o3-mini,J20,o,0,4,11.403554075001011,0.5,1995.4316152029976,253.9985307446835,1995.4316152029976,252.30980303434916,1
9,358ca9a8-06c7-11f0-959f-005056c00003,o1-mini,J19,x,0,5,8.80099924000242,0.5,1847.1420471438,253.7296410668681,1847.1420471438,252.30937131546153,1
17,764252b8-06c1-11f0-93d6-005056c00003,google/gemini-2.0-flash-thinking-exp:free,J12,x,0,4,5.207022874999893,1.0,1785.8853602062409,252.93337751145663,1818.0879568024284,251.05692501324887,1
32,bd064efa-06c1-11f0-b285-005056c00003,deepseek/deepseek-r1:free,J9,o,0,3,25.237887400001156,1.0,1729.729562602905,248.7509785933991,1761.5507750348124,246.89267919993404,1
18,764252b8-06c1-11f0-93d6-005056c00003,google/gemini-2.0-flash-thinking-exp-1219:free,J13,o,0,3,5.5631868666653945,0.0,1746.8694494355257,251.8137192199246,1716.1221319478234,250.11774391051938,1
31,bd064efa-06c1-11f0-b285-005056c00003,google/gemini-2.0-pro-exp-02-05:free,J11,x,0,3,3.603723024998544,0.0,1738.511232879548,243.192012085271,1708.4231091617407,241.51900206685065,1
7,3453b524-06c3-11f0-b58f-005056c00003,google/gemini-2.0-flash-exp:free,J14,x,0,4,2.744757424999989,1.0,1623.358011908946,246.8095437435114,1669.8674370860392,242.44136639725807,1
14,46477b67-06c8-11f0-8660-005056c00003,deepseek/deepseek-r1-distill-llama-70b:free,J4,o,0,2,25.74142579999898,0.0,1706.3959579519228,272.6227474794357,1667.339376552244,269.9514272515196,1
13,46477b67-06c8-11f0-8660-005056c00003,google/learnlm-1.5-pro-experimental:free,J16,x,0,3,3.209009000000757,1.0,1632.6306332358874,240.9113295061596,1662.5451509728896,239.24426339410377,1
2,1f1596c0-0729-11f0-838a-005056c00003,cognitivecomputations/dolphin3.0-r1-mistral-24b:free,J2,o,5,4,26.11258852500032,1.0,1554.7442862334126,246.3754944389582,1603.984167116997,241.4119154774543,1
23,974213ac-06c3-11f0-a1b2-005056c00003,google/gemini-exp-1206:free,J15,x,0,3,4.7130695999973495,1.0,1545.5912615248485,251.90028156411543,1581.6069311450474,249.47475656149254,1
35,da8bd19d-06c3-11f0-912a-005056c00003,gpt-4o,J18,x,0,3,1.401609533333006,1.0,1504.4500281367557,272.1588652921756,1547.8756423101315,268.7801322831492,1
4,2c06a091-06c9-11f0-b86e-005056c00003,gpt-3.5-turbo-0125,J17,o,4,3,0.966585100000278,1.0,1463.7660787025045,265.78905947744204,1509.2250037106353,261.95760384975114,1
24,974213ac-06c3-11f0-a1b2-005056c00003,google/gemini-2.0-flash-lite-preview-02-05:free,J10,o,0,2,2.4422403333325446,0.0,1535.1858415838235,239.2751162892297,1503.5033099486134,237.358863813337,1
36,da8bd19d-06c3-11f0-912a-005056c00003,meta-llama/llama-3.3-70b-instruct:free,J5,o,0,2,5.625684200000251,0.0,1475.447018512113,263.49038319955696,1436.4192863833111,260.7254245848483,1
15,5daa646e-06c9-11f0-b439-005056c00003,qwen/qwen2.5-vl-72b-instruct:free,J7,x,0,3,4.484237900001365,1.0,1317.1779149467632,256.96273951390754,1359.157075736622,253.62689647478183,1
3,2c06a091-06c9-11f0-b86e-005056c00003,sophosympatheia/rogue-rose-103b-v0.2:free,J8,x,1,3,4.73186427499968,0.0,1365.2206567244093,235.4768964176768,1332.2417932671772,233.34145773048155,1
16,5daa646e-06c9-11f0-b439-005056c00003,nvidia/llama-3.1-nemotron-70b-instruct:free,J6,o,0,2,5.894173666667484,0.0,1353.4921065047176,264.4854903895222,1309.2607396174335,260.8579829857781,1
